DATETIME,DJON,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,TERA
2012-03-08 11:50:00,140.216,54.94,216.6,531.247,757.714,146.37,1333.3,99.264,146.397,343.938,422.324,396.4,201.6,47.483,234.638,88.742,156.69,164.126,199.547,212.707,99.944,163.87,119.6,93.867,197.674,176.718,195.296,200.654,113.534,134.78,274.408,108.881
2012-03-08 11:55:00,138.45,53.08,214.967,532.821,754.748,146.653,1326.68,98.542,148.323,342.294,421.51,400.8,203.4,48.108,231.132,87.94,159.997,168.218,202.027,212.965,99.854,159.98,118.8,94.827,197.59,177.1,195.024,202.592,112.768,134.586,275.892,107.821
2012-03-08 12:00:00,138.062,54.823,212.2,528.863,751.595,145.977,1334.12,98.646,147.885,342.955,417.903,392.0,199.0,47.776,233.394,88.452,158.417,165.23,200.933,210.53,98.089,162.176,120.0,93.627,196.292,177.062,194.298,198.526,112.568,134.154,275.602,109.014
2012-03-08 12:05:00,139.319,53.733,212.867,526.773,757.465,145.747,1319.34,99.954,148.092,339.53,420.978,392.2,198.8,47.386,232.802,87.294,158.773,165.19,201.787,214.378,97.971,160.906,120.4,93.44,196.742,176.714,194.052,195.426,113.098,133.058,273.406,108.218
2012-03-08 12:10:00,138.578,54.113,213.833,526.399,741.144,145.783,1329.58,99.69,146.728,338.501,420.941,391.6,197.4,47.795,231.678,87.848,156.967,164.122,199.867,214.761,97.917,161.06,120.6,92.96,195.53,177.252,194.694,198.814,113.13,134.264,274.94,106.638
2012-03-08 12:15:00,140.413,54.14,214.833,526.073,751.556,144.577,1323.74,98.592,145.367,339.656,417.553,393.2,196.8,49.007,231.658,86.896,156.283,164.55,196.907,212.553,98.243,162.022,120.8,92.96,197.168,177.36,193.932,201.508,112.352,133.756,276.516,108.012
2012-03-08 12:20:00,141.635,53.503,214.1,527.377,751.117,147.373,1311.08,96.866,145.383,339.371,414.671,391.2,198.6,46.655,233.69,88.73,155.167,162.44,195.573,213.423,97.858,160.744,118.8,93.36,195.834,178.166,194.714,197.05,111.924,134.548,275.968,108.952
2012-03-08 12:25:00,139.843,54.103,212.267,528.868,753.731,146.09,1316.3,97.286,146.126,339.066,416.762,388.0,198.0,45.874,230.66,89.098,156.664,162.946,197.333,211.125,96.479,162.854,120.6,91.6,195.854,177.536,193.648,199.028,112.014,135.73,277.15,107.506
2012-03-08 12:30:00,139.391,52.68,215.233,524.511,743.903,145.493,1315.12,98.11,146.873,344.57,417.681,387.4,195.8,46.886,232.668,87.746,157.523,166.24,196.56,210.132,97.509,159.996,120.2,91.76,196.192,177.162,195.116,199.674,113.358,134.454,275.9,109.06
2012-03-08 12:35:00,138.954,53.81,214.3,524.567,760.828,146.897,1314.58,97.11,144.532,342.53,421.465,391.4,196.4,47.356,231.19,88.158,158.96,164.108,198.32,213.307,98.226,156.978,120.0,93.28,193.316,177.506,191.066,196.28,112.946,136.598,276.406,105.768
2012-03-08 12:40:00,141.174,54.383,216.533,523.004,749.64,146.723,1318.94,97.938,145.449,339.317,417.418,388.0,195.6,46.903,229.368,88.34,156.73,162.68,199.013,213.221,97.418,158.746,121.0,94.187,196.324,177.626,194.118,198.424,111.922,135.384,273.798,108.098
2012-03-08 12:45:00,138.568,53.643,213.2,523.095,746.072,146.013,1323.12,100.988,145.429,342.633,417.996,389.4,193.4,45.9,231.388,88.086,159.617,166.13,198.667,209.507,96.962,160.272,121.6,94.267,195.632,176.512,195.718,200.494,113.38,134.856,277.166,108.211
2012-03-08 12:50:00,140.53,54.643,210.567,527.803,749.907,146.303,1317.72,99.984,149.898,344.197,421.347,385.2,195.8,45.988,231.41,87.654,160.33,166.606,196.48,212.067,99.872,160.81,120.6,93.387,197.136,175.672,194.426,198.722,112.036,135.582,276.988,106.024
2012-03-08 12:55:00,141.469,55.003,214.4,525.262,740.503,147.797,1315.84,98.222,147.321,344.662,421.679,388.6,193.2,46.7,229.73,87.41,157.32,163.824,197.173,211.878,99.001,159.612,119.0,92.853,196.224,175.652,195.546,199.766,112.618,134.01,273.794,107.57
2012-03-08 13:00:00,139.667,53.2,213.467,523.93,749.544,146.67,1313.12,99.152,147.216,342.175,423.163,390.8,195.2,47.5,232.064,87.858,157.157,164.514,194.24,214.136,98.154,159.77,119.0,93.547,199.658,175.71,193.484,196.98,112.278,132.708,274.458,107.998
2012-03-08 13:05:00,138.897,54.213,215.2,522.558,748.9,146.24,1311.42,99.786,147.059,346.108,423.906,387.4,196.0,48.107,231.732,89.97,157.32,163.442,197.253,211.67,98.545,157.758,119.8,91.36,196.498,177.216,192.762,195.75,112.552,132.284,269.814,106.929
2012-03-08 13:10:00,140.558,54.93,217.6,523.023,746.718,144.99,1320.3,97.654,147.005,345.059,427.144,387.0,196.4,46.75,231.106,88.446,158.177,165.802,197.067,212.314,96.866,159.444,120.2,90.133,194.876,177.81,192.44,194.468,112.426,133.444,270.162,107.983
2012-03-08 13:15:00,141.593,53.943,213.1,526.527,752.004,147.433,1321.14,100.262,147.801,341.285,421.528,388.2,194.8,46.48,231.042,88.754,156.36,163.066,197.173,212.692,97.416,159.382,120.0,91.627,196.902,178.924,192.284,198.654,113.536,132.3,271.9,105.626
2012-03-08 13:20:00,139.281,53.463,212.933,525.116,742.687,148.35,1316.82,98.272,146.58,341.883,417.501,387.6,193.0,47.646,231.26,88.644,156.737,162.68,195.6,212.717,97.744,161.226,119.8,91.76,196.808,176.232,196.968,198.824,112.824,130.684,269.774,106.523
2012-03-08 13:25:00,140.097,54.79,215.567,526.184,756.101,149.847,1317.42,99.78,148.728,341.436,421.058,387.8,193.6,46.276,231.568,87.148,155.857,163.974,198.133,213.0,99.908,160.132,117.0,92.613,196.372,178.184,191.984,200.51,112.692,130.46,270.958,107.806
2012-03-08 13:30:00,139.18,55.097,212.6,525.861,744.999,146.313,1320.26,99.26,147.867,345.505,424.281,387.2,194.6,47.282,231.372,87.148,156.427,163.064,199.867,209.172,98.796,160.596,118.0,90.613,195.336,176.542,192.494,193.51,112.684,131.248,269.1,108.782
2012-03-08 13:35:00,139.312,54.073,213.9,524.387,750.311,148.543,1319.28,98.704,147.849,345.537,421.854,385.4,195.0,46.69,229.318,87.69,157.37,164.094,196.8,209.544,98.952,161.418,117.6,91.813,196.824,176.782,195.06,196.004,112.134,130.848,268.418,107.143
2012-03-08 13:40:00,139.907,54.567,213.267,527.344,755.124,147.327,1329.44,98.618,147.529,342.8,424.715,387.0,196.8,47.404,232.442,88.958,158.897,164.402,198.24,210.561,97.221,158.634,117.8,90.72,199.044,175.714,193.392,199.398,112.842,131.688,270.57,107.955
2012-03-08 13:45:00,142.441,56.147,215.533,526.615,746.748,146.973,1325.68,98.752,147.662,342.298,424.135,388.4,195.0,47.762,229.256,87.978,156.82,163.34,194.96,209.085,98.15,159.8,118.4,91.6,195.04,176.166,192.67,200.266,112.044,131.528,267.974,106.053
