DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,MOSC,NEWK,KIEL,KERG,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO
2001-10-21 19:40:00,172.144,52.103,211.333,124.323,1377.72,401.127,,207.994,88.06,154.607,,288.93,94.904,153.42,194.798,171.976,195.546,194.593,108.88,44.794,260.64
2001-10-21 19:45:00,172.71,54.433,213.367,126.45,1364.44,403.75,102.614,206.378,89.506,152.267,,292.202,94.201,152.84,194.46,173.712,197.192,194.09,109.452,45.096,259.182
2001-10-21 19:50:00,168.578,51.4,213.7,125.343,1368.06,405.42,,207.156,87.728,152.877,,291.051,94.312,154.86,196.918,171.776,195.964,197.68,108.502,44.926,261.936
2001-10-21 19:55:00,172.45,52.33,212.067,124.123,1371.2,406.383,,204.072,89.772,155.21,,288.371,94.722,151.28,195.718,171.454,193.44,198.02,109.35,44.63,260.346
2001-10-21 20:00:00,174.182,52.43,212.367,125.837,1377.72,405.967,103.71,203.944,88.92,151.773,,293.947,96.696,154.24,195.99,171.552,193.228,196.012,108.41,43.686,259.08
2001-10-21 20:05:00,171.234,51.623,213.133,125.373,1381.2,406.007,,206.824,89.924,153.563,,291.349,94.036,153.96,197.178,170.782,194.98,196.87,108.462,44.512,256.048
2001-10-21 20:10:00,172.218,52.687,211.7,127.453,1385.46,402.787,,208.168,89.192,153.033,,290.199,95.794,153.32,195.034,172.034,194.49,198.764,108.406,44.626,258.226
2001-10-21 20:15:00,171.582,53.693,211.2,125.907,1386.72,406.143,102.831,206.378,88.338,152.507,,294.39,96.266,152.22,194.24,173.018,197.908,195.952,108.836,44.474,261.076
2001-10-21 20:20:00,173.77,54.017,215.3,126.253,1384.68,405.483,,206.364,90.122,152.7,,294.696,96.793,152.94,197.462,169.948,195.316,197.924,109.798,44.74,259.454
2001-10-21 20:25:00,170.894,53.067,211.467,127.237,1381.84,405.703,,206.114,90.08,150.413,,292.598,93.845,154.5,197.056,171.5,196.028,197.414,107.35,44.986,260.058
2001-10-21 20:30:00,172.63,53.137,212.133,127.29,1375.36,409.09,103.803,208.476,89.148,153.91,,292.024,96.567,154.94,196.3,171.972,196.598,196.06,109.244,44.328,261.026
2001-10-21 20:35:00,172.602,53.68,212.067,127.6,1383.84,409.537,,209.094,89.152,151.88,,292.301,97.238,155.58,198.604,173.046,197.088,196.638,108.788,44.876,259.11
2001-10-21 20:40:00,172.092,52.46,213.833,126.68,1378.32,409.813,,208.664,88.898,155.45,,296.821,96.276,154.5,194.728,174.306,195.754,196.462,110.104,44.876,260.824
2001-10-21 20:45:00,172.91,51.703,213.267,127.64,1373.56,411.04,104.107,210.238,89.614,153.644,,291.614,95.767,154.58,197.484,171.36,196.088,199.394,108.922,44.536,260.736
2001-10-21 20:50:00,173.598,53.0,214.567,127.847,1375.94,410.24,,210.672,90.274,155.05,,292.874,96.775,156.66,194.76,172.142,195.94,197.104,109.248,43.996,259.502
2001-10-21 20:55:00,172.132,53.64,212.033,127.907,1366.8,413.163,,208.54,88.746,152.97,,292.252,97.406,154.94,198.202,173.386,194.608,196.944,107.952,44.008,258.918
2001-10-21 21:00:00,169.036,52.587,213.867,128.653,1363.86,412.107,105.013,208.64,89.256,154.28,,295.0,97.867,154.36,196.02,172.06,198.422,195.788,109.144,44.578,258.948
2001-10-21 21:05:00,170.028,53.08,216.4,127.667,1360.76,410.12,,205.292,88.886,153.537,,291.32,96.858,152.1,198.506,170.862,197.382,196.07,108.356,44.65,258.43
2001-10-21 21:10:00,171.056,52.397,213.533,125.99,1355.8,408.027,,205.05,88.306,154.893,,291.644,95.688,153.12,194.994,172.596,196.352,197.428,109.654,44.804,260.258
2001-10-21 21:15:00,171.812,52.767,214.067,127.673,1360.48,405.61,103.139,206.12,88.144,155.463,,292.083,94.507,152.76,195.102,172.142,193.818,195.08,107.628,44.902,258.222
2001-10-21 21:20:00,168.148,52.347,211.333,124.593,1350.52,401.393,,204.402,89.182,152.25,,292.357,95.373,152.22,195.8,172.806,194.108,192.714,109.162,44.904,260.576
2001-10-21 21:25:00,170.376,52.517,210.9,125.437,1360.48,401.6,,201.266,87.242,152.28,,292.228,94.221,153.0,193.622,172.962,194.94,193.924,108.782,44.762,259.65
2001-10-21 21:30:00,170.254,50.307,211.933,122.76,1363.08,397.66,101.092,201.43,87.406,151.71,,290.761,94.511,149.76,194.638,170.964,191.958,193.174,108.382,44.258,260.456
2001-10-21 21:35:00,170.666,51.773,211.3,123.38,1363.3,399.16,,204.762,89.776,152.98,,290.321,94.363,149.84,192.702,170.374,192.972,195.052,108.046,44.852,260.234
2001-10-21 21:40:00,168.758,52.38,210.567,123.59,1358.26,398.507,,205.576,86.45,152.583,,288.925,94.36,152.34,192.848,169.774,192.324,194.288,106.932,44.704,259.648
2001-10-21 21:45:00,169.29,52.807,210.067,124.777,1363.12,398.03,102.266,202.074,87.432,151.057,,285.08,92.741,149.96,192.36,169.876,190.2,192.616,107.362,44.124,258.856
2001-10-21 21:50:00,169.99,51.493,212.667,124.697,1363.04,398.76,,204.836,87.55,148.633,,286.866,93.107,151.98,193.568,169.348,192.068,190.876,107.368,44.012,258.584
2001-10-21 21:55:00,170.19,52.127,210.967,123.09,1355.52,399.877,,202.682,86.962,152.313,,282.441,94.111,153.2,191.778,169.482,190.612,193.992,107.772,44.602,258.7
2001-10-21 22:00:00,169.28,52.48,209.533,123.703,1361.3,398.173,102.193,204.732,86.51,150.423,,285.599,95.784,152.88,190.91,169.372,195.458,192.6,108.518,42.876,257.164
2001-10-21 22:05:00,168.906,52.087,207.233,124.22,1355.64,396.063,,202.328,87.04,150.92,,283.088,93.267,152.78,192.584,169.5,191.312,192.41,107.738,44.24,254.3
2001-10-21 22:10:00,169.774,52.44,207.4,123.863,1353.7,396.113,,203.076,85.592,150.743,,285.715,95.445,151.2,190.42,169.39,190.912,193.44,107.716,43.894,255.17
2001-10-21 22:15:00,169.012,52.13,210.067,123.413,1357.52,398.393,101.441,202.46,84.718,150.193,,284.042,93.243,151.5,191.256,168.724,193.264,191.094,108.642,43.4,254.312
2001-10-21 22:20:00,169.446,52.15,207.067,124.687,1364.18,396.357,,202.908,87.926,148.32,,284.126,94.416,152.84,192.716,170.524,192.47,194.67,107.622,43.324,255.37
2001-10-21 22:25:00,169.734,52.17,209.367,124.237,1353.52,397.853,,204.284,86.4,152.137,,284.288,94.435,152.64,190.418,169.668,194.052,193.58,108.566,42.508,255.09
2001-10-21 22:30:00,171.662,51.913,207.2,123.55,1352.44,396.24,100.924,204.262,88.392,148.943,,288.909,95.386,150.02,193.138,170.82,192.45,195.026,107.14,42.814,253.716
2001-10-21 22:35:00,168.656,52.023,210.0,124.803,1348.16,393.577,,201.184,86.822,149.53,,286.443,95.282,152.4,192.284,171.112,192.49,194.998,106.256,43.31,251.978
2001-10-21 22:40:00,168.11,51.113,207.567,123.81,1328.24,396.48,,203.458,85.794,149.68,,285.989,95.217,151.4,193.694,169.49,192.66,196.754,107.748,43.108,251.984
2001-10-21 22:45:00,169.628,51.727,210.467,123.603,1341.48,401.067,101.243,202.178,86.726,151.183,,284.366,92.307,151.44,190.824,170.612,193.504,193.91,107.756,43.18,249.4
2001-10-21 22:50:00,170.17,50.803,208.8,123.12,1336.02,393.317,,202.886,86.482,150.48,,285.437,93.424,151.36,192.426,169.514,191.524,193.226,107.59,43.438,250.954
2001-10-21 22:55:00,170.648,50.477,208.267,123.997,1337.86,397.727,,200.426,85.488,150.14,,287.385,93.496,151.9,191.006,170.988,193.14,193.338,107.87,43.114,252.534
2001-10-21 23:00:00,169.992,51.86,208.667,123.913,1346.96,396.31,100.636,204.132,87.928,151.463,,283.814,94.791,154.22,191.828,170.236,191.844,193.624,108.424,42.078,250.798
2001-10-21 23:05:00,168.852,50.957,208.867,123.27,1345.7,393.56,,203.91,88.356,150.043,,286.914,93.809,153.16,191.186,169.546,193.018,193.218,108.566,42.882,254.228
2001-10-21 23:10:00,165.882,51.653,211.033,123.767,1350.88,401.257,,202.928,86.438,149.55,,286.248,95.515,153.24,193.688,170.45,193.39,193.384,108.23,42.848,249.422
2001-10-21 23:15:00,169.394,53.017,207.8,123.667,1349.76,397.96,101.078,200.696,86.714,149.997,,285.863,94.977,153.46,193.028,170.29,191.856,192.59,107.18,43.262,250.77
2001-10-21 23:20:00,168.752,53.04,210.2,122.823,1347.5,401.66,,201.288,86.988,149.783,,283.692,94.938,152.3,191.906,168.548,192.886,193.694,109.15,43.712,253.538
2001-10-21 23:25:00,166.308,51.053,210.133,122.753,1344.88,396.88,,204.104,87.434,152.223,,285.928,94.107,152.52,192.592,168.904,193.076,193.216,107.644,43.32,250.746
2001-10-21 23:30:00,170.066,51.603,212.3,124.09,1341.08,394.907,100.979,203.306,86.498,150.797,,285.96,95.772,154.2,192.906,169.73,192.786,193.054,107.726,43.05,251.83
2001-10-21 23:35:00,167.49,51.527,212.033,125.283,1341.22,394.683,,204.376,87.45,151.31,,283.789,94.88,152.4,191.328,169.846,194.646,193.39,108.026,43.002,250.438
2001-10-21 23:40:00,168.576,51.373,210.4,124.243,1345.32,396.95,,203.256,86.186,148.8,,284.618,93.52,150.66,194.104,169.192,192.874,193.73,107.744,42.78,251.39
2001-10-21 23:45:00,169.68,51.357,211.133,124.95,1345.02,393.863,101.109,205.396,87.77,152.223,,282.32,94.984,153.06,192.518,167.154,193.018,193.484,108.282,42.968,251.96
2001-10-21 23:50:00,167.06,53.43,212.1,122.783,1330.78,398.5,,202.956,86.12,150.037,,285.362,94.136,153.32,191.782,169.63,193.452,194.052,109.06,42.92,250.6
