DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL
2006-12-14 16:15:00,180.778,54.743,225.033,149.533,1391.48,443.633,110.328,97.612,168.783,325.168,106.041,172.46,210.396,189.774,212.892,213.738,120.416
2006-12-14 16:20:00,177.254,55.24,223.533,153.047,1376.8,442.483,,98.462,168.52,322.59,106.586,174.62,211.16,190.776,212.922,211.118,119.404
2006-12-14 16:25:00,177.132,55.83,223.333,153.403,1371.42,444.24,,96.242,166.97,322.215,105.28,170.08,211.976,192.274,212.89,213.308,122.158
2006-12-14 16:30:00,178.478,54.873,221.7,152.157,1375.42,442.404,110.3,99.278,166.93,321.356,106.772,173.5,210.956,189.872,212.276,211.764,119.772
2006-12-14 16:35:00,176.968,54.097,222.867,153.857,1380.5,442.983,,95.714,168.047,322.951,106.415,172.34,211.246,188.992,212.942,212.784,119.102
2006-12-14 16:40:00,176.878,54.38,225.1,150.753,1375.18,441.347,,98.466,167.377,322.715,106.552,170.58,212.454,189.866,213.898,211.522,119.608
2006-12-14 16:45:00,178.116,53.89,220.3,151.957,1373.72,441.327,110.393,98.19,170.573,322.089,105.721,172.34,210.886,187.484,214.206,210.238,120.826
2006-12-14 16:50:00,177.584,53.717,223.1,152.29,1372.62,441.247,,97.782,169.27,322.121,106.08,174.16,211.194,186.192,214.056,212.166,120.87
2006-12-14 16:55:00,177.44,53.433,218.733,149.417,1365.22,440.683,,96.366,168.867,319.933,106.497,172.66,214.444,188.336,216.062,212.214,119.746
2006-12-14 17:00:00,177.52,54.94,223.4,150.933,1364.9,437.217,109.133,98.994,168.437,321.246,106.683,171.22,211.094,189.002,213.23,212.948,119.3
2006-12-14 17:05:00,176.612,54.547,220.7,149.293,1370.28,435.243,,99.07,167.873,324.529,106.913,172.2,212.856,188.402,212.356,212.024,119.094
2006-12-14 17:10:00,175.388,54.063,221.2,150.073,1364.76,435.323,,97.838,168.247,319.387,106.895,174.06,209.342,189.346,214.184,211.584,118.88
2006-12-14 17:15:00,174.042,53.493,219.533,147.7,1365.48,431.54,109.421,98.004,167.893,318.856,105.468,173.22,209.562,188.282,214.904,212.516,119.878
2006-12-14 17:20:00,175.088,53.543,222.567,149.037,1362.2,441.603,,97.264,169.897,320.652,106.35,171.64,209.38,187.512,209.82,211.566,119.158
2006-12-14 17:25:00,174.412,52.74,221.333,148.26,1356.24,434.42,,98.376,167.51,322.574,106.545,171.1,209.474,188.344,212.342,210.656,120.544
2006-12-14 17:30:00,176.05,54.337,220.833,149.187,1361.2,435.506,109.043,97.838,168.587,318.981,106.975,170.54,213.172,188.626,212.936,212.838,120.068
2006-12-14 17:35:00,177.176,54.687,218.067,149.577,1362.3,437.547,,97.656,167.877,324.261,106.509,170.86,211.54,187.526,212.99,209.99,119.86
2006-12-14 17:40:00,175.842,54.14,220.5,147.873,1355.52,434.917,,97.99,170.55,322.321,106.123,170.02,210.948,188.908,211.048,211.846,120.562
2006-12-14 17:45:00,174.788,54.603,221.967,150.8,1360.52,435.183,110.234,97.38,170.397,319.514,105.797,171.36,211.372,187.594,212.85,210.922,120.85
2006-12-14 17:50:00,175.344,55.387,219.533,148.093,1366.42,434.157,,98.464,167.49,320.06,103.414,171.02,210.02,187.896,210.052,214.864,119.158
2006-12-14 17:55:00,177.94,53.617,220.367,147.48,1358.68,432.69,,96.414,166.04,321.153,104.963,169.14,210.31,186.968,212.754,210.126,119.456
2006-12-14 18:00:00,174.89,53.457,220.0,148.937,1356.04,436.963,109.333,98.13,166.077,319.683,106.672,167.84,210.812,188.288,213.21,212.496,119.872
2006-12-14 18:05:00,177.656,54.847,220.7,149.853,1340.92,432.157,,94.928,166.987,318.339,104.805,171.96,209.444,187.43,211.082,211.902,119.172
2006-12-14 18:10:00,177.024,54.253,223.167,151.603,1342.68,433.803,,96.634,165.9,317.931,102.678,169.54,209.236,184.462,210.734,209.698,118.754
2006-12-14 18:15:00,174.274,53.303,217.2,150.173,1337.5,430.3,108.73,96.682,168.023,320.01,104.69,169.16,206.804,183.71,208.94,207.42,119.212
2006-12-14 18:20:00,174.13,53.753,218.833,149.09,1341.8,431.51,,97.636,168.197,317.821,104.426,169.5,208.71,183.056,208.66,209.116,117.302
