DATETIME,DJON,ESOI,ATHN,MXCO,ARNM,NANM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK3,IRKT,MCRL,MOSC,NEWK,MGDN,YKTK,KERG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2011-10-24 20:20:00,141.146,121.975,56.133,228.9,576.883,486.801,152.957,1390.36,105.182,162.461,378.212,454.017,417.2,209.4,51.402,245.408,97.228,180.91,214.027,222.699,109.654,174.532,219.846,193.75,217.534,221.338,124.372,148.17,303.872,120.7,114.561
2011-10-24 20:25:00,141.513,121.675,57.553,228.3,574.908,479.402,154.42,1394.18,105.578,160.495,374.304,453.103,420.2,209.6,51.788,246.51,96.86,181.646,213.733,223.082,108.298,176.248,219.878,193.232,215.448,220.076,125.036,147.272,302.204,120.162,114.426
2011-10-24 20:30:00,143.862,120.927,56.277,229.933,579.246,483.03,152.053,1394.24,105.76,157.362,370.144,451.863,418.6,209.2,52.686,241.704,97.74,178.758,212.267,222.789,108.363,175.042,220.214,193.984,219.386,222.172,125.588,146.45,301.894,120.098,116.13
2011-10-24 20:35:00,143.196,120.5,56.137,225.633,578.711,477.975,153.403,1384.56,105.748,158.908,368.309,451.677,415.2,209.8,51.446,243.406,95.428,179.418,213.52,222.632,108.122,175.736,219.086,193.818,216.638,218.708,124.882,148.424,302.926,120.058,114.103
2011-10-24 20:40:00,141.999,121.827,55.907,225.567,578.293,480.063,153.833,1386.58,106.122,159.627,370.302,454.54,413.6,211.2,53.595,243.42,97.174,178.602,214.0,220.627,107.458,172.168,218.818,192.604,219.186,221.77,124.9,148.658,299.724,121.628,113.79
2011-10-24 20:45:00,143.074,122.115,55.223,228.1,575.912,479.603,151.177,1390.78,106.708,158.115,370.005,449.237,416.8,210.6,50.766,240.37,95.702,178.456,212.96,221.73,108.866,174.1,219.862,193.42,216.364,222.72,123.576,146.308,300.296,120.244,113.298
2011-10-24 20:50:00,142.721,122.865,56.317,226.367,576.995,479.979,150.493,1393.14,106.15,158.004,366.525,452.763,414.0,209.6,51.78,240.012,96.63,179.982,213.36,221.73,107.333,172.68,218.1,193.092,218.302,223.142,123.526,146.09,299.374,119.886,112.344
2011-10-24 20:55:00,142.057,120.74,56.213,224.833,576.134,480.597,150.667,1384.7,105.924,155.833,367.304,451.223,415.0,209.8,50.912,240.666,96.088,178.452,211.12,221.933,107.264,175.23,220.502,192.588,217.68,215.79,125.478,146.696,300.386,120.438,114.842
2011-10-24 21:00:00,141.613,121.405,55.553,226.4,572.879,480.744,152.203,1394.52,104.552,158.395,370.346,446.683,416.4,209.8,51.644,239.572,96.05,178.05,211.733,221.19,105.718,174.994,219.12,195.094,218.37,221.662,124.598,149.28,301.478,120.512,115.677
2011-10-24 21:05:00,145.029,121.493,55.77,224.3,578.256,478.453,151.773,1392.84,106.438,158.363,368.587,449.857,418.0,211.0,51.562,240.602,95.828,180.138,212.693,219.496,107.166,173.746,220.624,194.064,217.716,220.758,123.548,149.082,301.828,120.736,113.545
2011-10-24 21:10:00,142.448,122.01,55.623,225.733,578.851,485.709,152.99,1393.1,106.35,159.402,366.54,449.663,416.4,211.0,51.706,241.782,96.28,178.954,212.774,225.203,107.598,174.512,222.066,192.822,219.59,217.092,124.244,146.286,301.244,119.528,113.859
2011-10-24 21:15:00,142.098,123.725,57.637,227.7,577.523,479.155,150.643,1392.0,102.92,159.012,368.221,449.893,417.8,207.4,51.346,242.73,96.548,178.998,213.92,220.987,106.775,173.72,219.392,193.632,218.892,218.096,124.642,147.298,299.53,119.354,114.9
2011-10-24 21:20:00,143.174,121.86,55.503,225.933,578.376,477.649,153.94,1397.76,106.308,160.15,368.35,448.517,418.8,207.4,51.176,238.0,97.244,180.944,212.373,220.785,106.478,173.566,218.186,190.816,215.734,220.884,124.194,146.684,298.14,120.118,114.325
2011-10-24 21:25:00,142.988,121.115,56.427,227.567,576.275,484.27,154.137,1394.2,105.364,159.601,367.875,446.777,419.8,208.6,51.94,239.55,97.288,180.394,212.107,218.325,108.452,172.716,216.876,195.264,216.126,220.302,123.33,145.81,296.956,118.716,114.407
2011-10-24 21:30:00,141.663,121.57,56.46,225.1,579.637,478.783,151.517,1391.5,107.566,156.376,370.786,447.826,419.4,207.8,50.358,239.616,97.16,178.584,212.293,218.368,106.385,172.544,215.822,190.966,216.718,214.428,124.8,146.234,300.524,120.4,113.261
