DATETIME,ESOI,ATHN,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,MGDN,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2012-07-14 16:30:00,95.805,57.81,222.867,485.756,70.281,151.463,1410.8,106.782,158.296,368.23,450.465,457.692,409.2,205.0,50.812,243.166,95.536,166.987,176.738,174.166,211.44,220.022,104.695,171.132,121.0,95.12,209.118,184.636,207.998,212.11,116.832,142.482,291.246,110.476,112.491
2012-07-14 16:35:00,96.5,57.933,223.267,487.802,71.736,152.753,1399.92,106.032,156.397,369.441,450.661,457.004,407.4,207.4,51.63,243.988,94.404,168.0,175.944,173.598,208.88,217.221,104.601,169.386,121.0,95.307,209.346,185.428,208.562,208.928,117.592,142.714,293.056,110.566,112.783
2012-07-14 16:40:00,94.25,56.88,225.167,488.095,72.119,152.283,1406.88,105.322,156.79,369.601,450.366,461.406,410.0,207.6,51.502,243.14,94.834,168.88,178.946,171.766,210.693,217.884,104.552,167.642,123.2,95.973,208.52,186.09,208.896,209.758,117.912,142.642,292.626,110.832,112.565
2012-07-14 16:45:00,95.415,56.797,226.8,481.903,71.973,152.563,1398.62,105.544,157.044,371.381,452.844,456.66,413.6,207.6,51.39,241.668,96.652,171.957,182.99,173.762,208.587,216.323,104.353,171.37,121.0,95.093,210.856,185.186,209.644,211.066,117.296,142.114,292.14,108.104,113.291
2012-07-14 16:50:00,94.36,57.147,223.733,488.216,68.251,152.837,1402.94,105.674,155.396,367.775,451.928,460.424,410.4,206.6,50.814,242.286,94.896,168.013,177.518,172.806,208.88,219.397,104.437,170.552,121.4,95.6,210.144,188.304,210.954,208.414,116.972,143.84,292.972,111.048,112.864
2012-07-14 16:55:00,94.1,57.853,224.233,480.335,72.143,151.407,1408.08,105.968,158.63,369.724,452.875,461.018,410.4,205.0,52.008,242.698,94.912,165.187,174.48,171.512,208.027,218.126,105.41,170.294,122.4,95.573,210.114,185.468,208.95,209.4,118.276,141.614,292.904,108.294,111.616
2012-07-14 17:00:00,94.88498708333346,57.26,223.967,481.735,71.631,152.226,1399.06,107.496,156.56,370.556,448.792,456.31,408.6,208.8,51.08,243.074,94.232,170.727,181.292,173.932,207.653,219.59,105.427,171.27,123.6,96.213,211.28,189.656,207.388,212.77,118.268,142.738,292.49,109.562,112.97
2012-07-14 17:05:00,94.9984875,57.343,225.033,486.457,71.551,151.4,1399.92,106.272,158.067,370.245,450.943,461.734,410.0,209.0,51.51,243.634,93.958,174.444,184.492,173.376,208.773,218.702,104.849,168.972,122.8,95.333,211.182,185.776,211.152,206.886,119.582,143.66,292.644,107.838,113.223
2012-07-14 17:10:00,95.00956375000001,57.453,227.167,477.969,71.83,151.473,1400.06,107.02,159.494,368.821,446.73,459.498,412.4,207.2,51.09,243.052,96.73,166.67,175.7,174.506,208.8,217.19,105.328,171.664,120.2,94.773,212.114,188.134,209.934,213.12,117.104,142.29,291.088,109.276,113.777
2012-07-14 17:15:00,94.97798999999995,57.963,224.3,485.14,71.179,154.337,1405.86,104.606,155.803,365.558,453.586,461.884,411.8,206.2,51.804,243.14,94.25,165.41,175.292,173.264,208.0,216.932,105.372,169.12,121.6,95.867,209.262,185.44,211.616,213.148,117.868,141.758,293.552,109.528,113.567
2012-07-14 17:20:00,95.19673083333333,58.587,227.367,484.533,70.451,151.257,1409.32,105.676,154.259,370.396,453.588,456.236,410.0,206.6,52.63,243.414,95.344,166.223,175.704,172.752,209.84,219.8,104.972,172.156,123.0,95.333,211.834,185.39,210.778,207.92,118.154,142.826,293.982,108.812,112.469
2012-07-14 17:25:00,94.90756166666675,56.28,224.6,484.566,71.335,151.373,1402.02,107.72,157.61,369.975,450.226,460.176,410.2,207.4,50.92,240.18,93.296,168.77,177.982,172.832,210.0,219.543,103.61,169.372,121.4,95.68,212.058,186.914,210.05,212.65,119.782,142.862,292.676,110.648,114.166
2012-07-14 17:30:00,95.2230045833333,57.963,225.633,483.325,72.057,151.923,1399.2,105.486,156.65,366.112,451.336,458.446,409.6,205.2,52.425,249.006,93.326,167.527,177.328,172.386,209.333,217.256,104.421,169.404,122.8,94.72,212.066,185.552,208.668,213.532,117.856,142.326,293.256,109.396,113.007
2012-07-14 17:35:00,95.41192999999996,58.06,225.867,482.674,71.639,151.287,1406.0,105.144,157.074,371.09,451.794,456.818,413.0,205.0,51.33,258.628,93.424,165.613,174.844,174.904,208.453,218.477,105.656,170.35,121.6,95.333,210.648,185.832,208.356,212.958,117.838,143.513,293.772,109.152,114.031
