event_date,drop,intensity,dst,normalization,adjacency_method,global_efficiency,estrada_index,entropy,fractal,hurst_rs,modularity,assortativity,avg_katz,avg_closeness,avg_betweenness,avg_laplacian
2011-10-24,6.01,G3,-137.0,robust,minkowski,0.3146979006656419,80.7173906766589,3.1971948793199383,1.5826967170224149,0.6031613745566413,0.6868931753923115,-0.38559924206537194,0.17709354612228645,0.24235188325293852,0.11412680756395996,0.0766376222905533
2011-10-24,6.01,G3,-137.0,decimal_scaling,minkowski,0.2761591037397481,74.72273746920278,3.245446761342492,1.2680074541720447,0.4849686186759433,0.6829890519088514,-0.3927048792041685,0.17819796643035454,0.18427895567425376,0.1596588802373007,0.07712677482557447
2011-10-24,6.01,G3,-137.0,none,minkowski,0.2761591037397481,74.72273746920278,3.2454467613424924,1.2680074541720447,0.48496861867594254,0.6829890519088514,-0.3927048792041685,0.17819796643035454,0.18427895567425376,0.1596588802373007,0.07712677482557445
2012-03-08,10.4,G3/G4,-148.0,min_max,manhattan,0.27362362100265253,75.13355919563118,3.4009582798801556,1.3157530959633528,0.6943245584414759,0.6791310546927017,-0.23451327433628386,0.17579554780201467,0.2001822268308897,0.13998655913978494,0.07460050071083435
2012-03-08,10.4,G3/G4,-148.0,z_score,manhattan,0.32767857142857143,82.02214402934108,3.385771038689461,1.9894675123013825,0.5934430357881997,0.687038891859149,-0.40395317597390207,0.17429722629979325,0.2696353534544248,0.09516129032258064,0.07797480629308524
2012-03-08,10.4,G3/G4,-148.0,robust,manhattan,0.29478693909137343,77.61193803711832,3.3941168299233118,1.333914442781996,0.5767891277120611,0.693121879812611,-0.2617717478052672,0.1752166668611787,0.2247906022490216,0.12090053763440861,0.07576188458776198
2012-03-08,10.4,G3/G4,-148.0,decimal_scaling,manhattan,0.26487825570486734,74.39902503129639,3.416942292877116,1.1213496373849474,0.6035032808544165,0.6797800608044632,-0.19908987485779536,0.17596554227769973,0.18988019466098738,0.15067204301075265,0.07482438182417922
2012-03-08,10.4,G3/G4,-148.0,none,manhattan,0.26487825570486734,74.39902503129639,3.4169422928771156,1.1213496373849474,0.6035032808544145,0.6797800608044632,-0.19908987485779536,0.17596554227769973,0.18988019466098738,0.15067204301075265,0.07482438182417936
2012-03-08,10.4,G3/G4,-148.0,min_max,minkowski,0.26800267944421063,75.09164684012768,3.402713288481443,1.4849683496527195,0.721701131967555,0.6817457259398451,-0.3259587020648969,0.1758423686550537,0.19266197155108597,0.1469758064516129,0.07487046646389989
2012-03-08,10.4,G3/G4,-148.0,z_score,minkowski,0.3352966589861746,84.0426989522575,3.387614777599136,2.0151125008534305,0.5392385010478353,0.6857188248402034,-0.41172245367044996,0.17392920828983915,0.2775582569011559,0.09153225806451613,0.07854966567164208
2012-03-08,10.4,G3/G4,-148.0,robust,minkowski,0.30955501152073667,80.12026145338965,3.3938237843544012,1.7464991124601652,0.7041533797371875,0.6985273557870646,-0.36859979101358475,0.17470410493410216,0.2400236699133173,0.11028225806451614,0.07688308861805873
2012-03-08,10.4,G3/G4,-148.0,decimal_scaling,minkowski,0.2643437207953328,74.64302933925416,3.417019880102075,1.1020013583829065,0.5462208412845151,0.6739860075337001,-0.15065502183406204,0.1758988337017422,0.18588915852644644,0.15443548387096775,0.07477712428598934
2012-03-08,10.4,G3/G4,-148.0,none,minkowski,0.2643437207953328,74.64302933925416,3.417019880102076,1.1020013583829065,0.5462208412845136,0.6739860075337002,-0.15065502183406204,0.1758988337017422,0.18588915852644644,0.15443548387096775,0.07477712428598937
2012-07-14,6.7,G4,-139.0,min_max,manhattan,0.24333098274274678,81.68195903238365,3.4857780675071486,1.4709398940879235,0.36357477725072634,0.6862912371213715,-0.2165725047080976,0.16823701061371074,0.15963532336112962,0.16689584924879042,0.06842343242564637
2012-07-14,6.7,G4,-139.0,z_score,manhattan,0.29715922732729344,88.79861969861317,3.4651411591678225,1.6144130721373133,0.39255132373374413,0.7061372221800415,-0.35381114903299254,0.166826294692314,0.2216416875264601,0.1131143366437484,0.07143385582976876
2012-07-14,6.7,G4,-139.0,robust,manhattan,0.29317672523554705,87.35466877184484,3.4454230071104233,1.403189042281271,0.4148632339222522,0.7255094035851813,-0.40285649512582195,0.16715547107481082,0.22514346070676095,0.10975299210593327,0.06968307130976187
2012-07-14,6.7,G4,-139.0,decimal_scaling,manhattan,0.25592523722775745,83.7803759255704,3.4606159729491828,1.3465543307949002,0.47212978681910717,0.6936207242486464,-0.38711172925359444,0.16785824976124178,0.17106177808539613,0.15416348357524826,0.06860635599617165
2012-07-14,6.7,G4,-139.0,none,manhattan,0.25592523722775745,83.7803759255704,3.4606159729491837,1.3465543307949002,0.47212978681910683,0.6936207242486466,-0.38711172925359444,0.16785824976124178,0.17106177808539613,0.15416348357524826,0.06860635599617161
2012-07-14,6.7,G4,-139.0,min_max,minkowski,0.25205281180071065,81.69319919691561,3.4858634877171095,1.4732091309147077,0.3363963310079666,0.6886872072194525,-0.18455743879472758,0.16822436641090965,0.17811123146171878,0.14693149987267634,0.06831809577907558
2012-07-14,6.7,G4,-139.0,z_score,minkowski,0.30424072659366685,91.93675197632291,3.4635280249679368,1.5589144812111904,0.3990437999572172,0.717093866480363,-0.3962793962793962,0.16636223168307923,0.22657669011395712,0.11046600458365163,0.07159886020722951
2012-07-14,6.7,G4,-139.0,robust,minkowski,0.3023450592358134,88.8990600297185,3.4413585133962385,1.436158920015832,0.5201329857362197,0.680783422909573,-0.42933231881301115,0.1668695486850582,0.2348735798729683,0.10384517443340972,0.07030541034045405
2012-07-14,6.7,G4,-139.0,decimal_scaling,minkowski,0.2632312412144333,84.50301376282655,3.449339214154034,1.2530632090999778,0.5397757500924656,0.6910945999771169,-0.443736730360934,0.1677497719985703,0.1835529390125508,0.14224598930481286,0.06837598687458196
2012-07-14,6.7,G4,-139.0,none,minkowski,0.2632312412144333,84.50301376282655,3.4493392141540338,1.2530632090999778,0.5397757500924665,0.6910945999771169,-0.443736730360934,0.1677497719985703,0.1835529390125508,0.14224598930481286,0.06837598687458175
2015-06-22,8.57,G4,-198.0,min_max,manhattan,0.2765806390806387,91.32245663169255,3.545660659675098,1.3951576336280327,0.6960469603706495,0.6860496696991696,-0.19803600654664483,0.16270470100611112,0.20613736507974842,0.1166023166023166,0.06663026739925951
2015-06-22,8.57,G4,-198.0,z_score,manhattan,0.2927809302809294,95.71540675768046,3.51211834259782,1.4341436409896584,0.4055014665544694,0.7158247600035567,-0.4294541709577759,0.162149209483321,0.22351856639601334,0.1039039039039039,0.06729827805716675
2015-06-22,8.57,G4,-198.0,robust,manhattan,0.3184434434434409,99.87501269483555,3.514846058728117,1.9754883227497395,0.5254678079432572,0.7208996806925353,-0.4284120787188275,0.16144249706219008,0.2615905612527289,0.08502788502788503,0.06807753323017983
2015-06-22,8.57,G4,-198.0,decimal_scaling,manhattan,0.28131367298034043,92.70364324654037,3.4230199094758857,1.3352667746451454,0.566796556066346,0.7121917801687673,-0.3919636087945423,0.16254006145713085,0.21359368294328887,0.11222651222651221,0.06436457494271054
2015-06-22,8.57,G4,-198.0,none,manhattan,0.28131367298034043,92.70364324654037,3.4230199094758853,1.3352667746451454,0.5667965560663464,0.7121917801687673,-0.3919636087945423,0.16254006145713085,0.21359368294328887,0.11222651222651221,0.06436457494271057
2015-06-22,8.57,G4,-198.0,min_max,minkowski,0.25320974487641085,88.08119771250202,3.5438495116299666,1.1940085569740244,0.581253959655262,0.6921458424773617,-0.37474541751527585,0.16333740914526598,0.18012221608390896,0.13813813813813813,0.06552232198624493
2015-06-22,8.57,G4,-198.0,z_score,minkowski,0.31175818675818623,96.39643728417656,3.5127874668752126,1.997736274320646,0.38211797523873575,0.7185875756480946,-0.45333333333333287,0.1619299639799352,0.2544531248250381,0.08725868725868725,0.06736916703205335
2015-06-22,8.57,G4,-198.0,robust,minkowski,0.303605499438831,100.45951029243844,3.5163521453069393,1.5055430174816538,0.48013272398638057,0.7019159257185261,-0.45961575531709814,0.1615986587544851,0.2376925903453329,0.09755469755469756,0.06829804422500739
2015-06-22,8.57,G4,-198.0,decimal_scaling,minkowski,0.273757090423757,90.14177070041085,3.422052691320816,1.6766223398993099,0.5132488444077264,0.7168899894529395,-0.3738317757009351,0.16298616372715016,0.21068755890571922,0.11334191334191335,0.06289552194335363
2015-06-22,8.57,G4,-198.0,none,minkowski,0.273757090423757,90.14177070041085,3.4220526913208156,1.6766223398993099,0.5132488444077269,0.7168899894529395,-0.3738317757009351,0.16298616372715016,0.21068755890571922,0.11334191334191335,0.06289552194335371
2017-09-07,6.41,G4,-144.0,min_max,manhattan,0.2749749749749754,89.10704424047871,3.5459261244580427,1.7967583615831415,0.4395507900886651,0.6923122695506975,-0.32923076923077066,0.1631175391180661,0.21638015940185934,0.10922350922350925,0.06587587845788713
2017-09-07,6.41,G4,-144.0,z_score,manhattan,0.31081259831259705,94.567520313542,3.5186257674499313,1.974823063789702,0.46866566943349924,0.6900096805931697,-0.23225030084235898,0.16205291554614043,0.25960344977957905,0.08648648648648648,0.06671801677119941
